Reportable name	Marker	Laboratory	Cell Subtype
CD3+CD4+CD25+ %	CD25	Laboratory 1	Lymphocyte T, CD4-positive
CD3+CD4+CD25+ ABS	CD25	Laboratory 1	Lymphocyte T, CD4-positive
CD3+CD4+CD25_APC MESF	CD25	Laboratory 1	Lymphocyte T, CD4-positive
CD3+CD4+CD25_APC MFI	CD25	Laboratory 1	Lymphocyte T, CD4-positive
CD3+CD4+CD71+ %	CD71	Laboratory 1	Lymphocyte T, CD4-positive
CD3+CD4+CD71+ %	CD71	Laboratory 1	Lymphocyte T, CD4-positive
CD3+CD4+CD71+ ABS	CD71	Laboratory 1	Lymphocyte T, CD4-positive
CD3+CD4+CD71+ ABS	CD71	Laboratory 1	Lymphocyte T, CD4-positive
CD3+CD4+CD71_FITC MESF	CD71	Laboratory 1	Lymphocyte T, CD4-positive
CD3+CD4+CD314+ %	CD314	Laboratory 1	Lymphocyte T, CD4-positive
CD3+CD4+CD314+ ABS	CD314	Laboratory 1	Lymphocyte T, CD4-positive
CD3+CD4+CD314_PE MESF	CD314	Laboratory 1	Lymphocyte T, CD4-positive
CD3+CD8+CD25+ %	CD25	Laboratory 1	Lymphocyte T, CD8-positive
CD3+CD8+CD25+ %	CD25	Laboratory 1	Lymphocyte T, CD8-positive
CD3+CD8+CD25+ %	CD25	Laboratory 1	Lymphocyte T, CD8-positive
CD3+CD8+CD25+ %	CD25	Laboratory 1	Lymphocyte T, CD8-positive
CD3+CD8+CD25+ ABS	CD25	Laboratory 1	Lymphocyte T, CD8-positive
CD3+CD8+CD25+ ABS	CD25	Laboratory 1	Lymphocyte T, CD8-positive
CD3+CD8+CD25+ ABS	CD25	Laboratory 1	Lymphocyte T, CD8-positive
CD3+CD8+CD25+ ABS	CD25	Laboratory 1	Lymphocyte T, CD8-positive
CD3+CD8+CD25_APC MESF	CD25	Laboratory 1	Lymphocyte T, CD8-positive
CD3+CD8+CD25_APC MESF	CD25	Laboratory 1	Lymphocyte T, CD8-positive
CD3+CD8+CD25_APC MESF	CD25	Laboratory 1	Lymphocyte T, CD8-positive
CD3+CD8+CD25_APC MESF	CD25	Laboratory 1	Lymphocyte T, CD8-positive
CD3+CD8+CD25_APC MFI	CD25	Laboratory 1	Lymphocyte T, CD8-positive
CD3+CD8+CD25_APC MFI	CD25	Laboratory 1	Lymphocyte T, CD8-positive
CD3+CD8+CD25_APC MFI	CD25	Laboratory 1	Lymphocyte T, CD8-positive
CD3+CD8+CD25_APC MFI	CD25	Laboratory 1	Lymphocyte T, CD8-positive
CD3+CD8+CD25_APC MFI	CD25	Laboratory 1	Lymphocyte T, CD8-positive
CD3+CD8+CD25_APC MFI	CD25	Laboratory 1	Lymphocyte T, CD8-positive
CD3+CD8+CD25_APC MFI	CD25	Laboratory 1	Lymphocyte T, CD8-positive
